contract_id,name,surname,dob,postcode,rent,contract_start,contract_end,tenant_id,eviction
1465348858,Charlie,Jones,1980-02-29,W13 9DF,2180.0,2016-06-08,,CharlieJones1980-02-29,
1512527932,Megan,Harding,1980-01-01,EC1V0LA,3140.0,2017-12-06,,MeganHarding1980-01-01,
1364692954,Laura,Baker,1989-10-14,TW3 1TS,940.0,2013-03-31,,LauraBaker1989-10-14,
1359165099,Adam,Richardson,1992-12-07,SE1 8YD,2240.0,2013-01-26,2015-04-25,AdamRichardson1992-12-07,
1430526767,Mussammed,Carr,1978-06-03,SW159EL,2320.0,2015-05-02,,MussammedCarr1978-06-03,
1367455061,Amelia,Turner,1985-12-21,W2  6DU,5310.0,2013-05-02,2017-12-01,AmeliaTurner1985-12-21,
1352860391,Gareth,King,1988-06-07,HA7 3AS,2850.0,2012-11-14,,GarethKing1988-06-07,
1356836405,George,Daniels,1970-01-29,W1K 2RF,4390.0,2012-12-30,,GeorgeDaniels1970-01-29,
1476055737,Emily,Wilson,1982-03-10,NW8 6EX,4540.0,2016-10-10,,EmilyWilson1982-03-10,
1412122853,Jake,Begum,1974-10-20,CR2 6NH,1200.0,2014-10-01,,JakeBegum1974-10-20,
1425861972,Hannah,Smith,1953-10-28,N17 6SS,1030.0,2015-03-09,,HannahSmith1953-10-28,
1375056224,Danny,Evans,1954-04-18,SW162UP,1850.0,2013-07-29,2016-08-28,DannyEvans1954-04-18,
1451439818,Mohammed,Ford,1958-10-07,W1H 9DL,4740.0,2015-12-30,2017-11-29,MohammedFord1958-10-07,
1483749887,Olaf,Fisher,1958-08-08,EC1M4DN,2950.0,2017-01-07,,OlafFisher1958-08-08,
1392513808,James,Duffy,1974-01-20,N1P 1AE,4460.0,2014-02-16,,JamesDuffy1974-01-20,
1377131629,Elicia,Khan,1993-01-23,EC2A2BG,1430.0,2013-08-22,,EliciaKhan1993-01-23,
1505000364,Sabrine,Hamilton,1954-05-13,E17 9HZ,1330.0,2017-09-10,,SabrineHamilton1954-05-13,
1402448659,Ellie,Curtis,1966-11-15,WC2B4AW,4530.0,2014-06-11,,EllieCurtis1966-11-15,
1345853912,Amelia-Mae,Cole,1990-01-04,UB3 1PG,1070.0,2012-08-25,2015-08-24,Amelia-MaeCole1990-01-04,Type_2
1364002452,Jessica,Daniels,1970-08-18,SE1 7NS,3340.0,2013-03-23,,JessicaDaniels1970-08-18,
1459128827,Ella,Pickering,1972-12-13,IG110NT,1210.0,2016-03-28,,EllaPickering1972-12-13,
1389747447,Zac,Coleman,1953-09-13,NW2 2DF,4020.0,2014-01-15,,ZacColeman1953-09-13,
1441240192,Alfie,Parkin,1979-03-27,NW6 1JL,1780.0,2015-09-03,,AlfieParkin1979-03-27,
1395370216,Faith,Clarke,1979-01-09,EC3M7HY,3320.0,2014-03-21,,FaithClarke1979-01-09,
1362442668,Olivia,Martin,1986-06-26,E13 9WN,1050.0,2013-03-05,,OliviaMartin1986-06-26,
1507595522,Phoebe,Sharp,1987-10-26,W1A 1GU,4170.0,2017-10-10,,PhoebeSharp1987-10-26,
1384561719,Finlay,Newman,1954-01-28,SE136QN,1260.0,2013-11-16,2015-09-15,FinlayNewman1954-01-28,
1473038591,Molly,Berry,1963-12-19,W2  1XD,2030.0,2016-09-05,,MollyBerry1963-12-19,
1331345618,Jaxon,Allen,1968-10-18,EC2P2DE,3200.0,2012-03-10,2017-04-09,JaxonAllen1968-10-18,
